,restaurantsId,name,averageRating,establishmentTypeAndCuisineTags
0,Restaurant_Review-g304554-d5913736-Reviews-Tuskers_Vegetarian_Dining_Bar-Mumbai_Maharashtra,Tuskers - Vegetarian Dining & Bar,4.5,Indian
1,Restaurant_Review-g304554-d21387580-Reviews-Fiona-Mumbai_Maharashtra,Fiona,5.0,Italian Indian Bar Asian
2,Restaurant_Review-g304554-d10539996-Reviews-Dashanzi-Mumbai_Maharashtra,Dashanzi,5.0,Chinese Japanese Sushi Asian
3,Restaurant_Review-g304554-d2034920-Reviews-Namak-Mumbai_Maharashtra,Namak,5.0,Indian
4,Restaurant_Review-g304554-d8010527-Reviews-Saptami-Mumbai_Maharashtra,Saptami,5.0,Indian
5,Restaurant_Review-g304554-d1008614-Reviews-Mabruk-Mumbai_Maharashtra,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
6,Restaurant_Review-g304554-d26582107-Reviews-FUMI_East_Asian_Spice_Trail-Mumbai_Maharashtra,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
7,Restaurant_Review-g304554-d17728654-Reviews-Citrus_Cafe-Mumbai_Maharashtra,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8,Restaurant_Review-g304554-d15223662-Reviews-Ummrao-Mumbai_Maharashtra,Ummrao,5.0,Indian
9,Restaurant_Review-g304554-d804433-Reviews-Kebabs_Kurries-Mumbai_Maharashtra,Kebabs & Kurries,5.0,Indian
10,Restaurant_Review-g304554-d3163674-Reviews-Jyran_Tandoor_Dining_Lounge-Mumbai_Maharashtra,Jyran - Tandoor Dining & Lounge,4.5,Indian
11,Restaurant_Review-g304554-d21511592-Reviews-Rasoi_Kitchen_Bar-Mumbai_Maharashtra,Rasoi Kitchen & Bar,5.0,Indian
12,Restaurant_Review-g304554-d19428928-Reviews-Tanatan_Shivaji_Park-Mumbai_Maharashtra,Tanatan Shivaji Park,5.0,Indian
13,Restaurant_Review-g304554-d1014520-Reviews-Peshawri-Mumbai_Maharashtra,Peshawri,4.5,Indian Healthy
14,Restaurant_Review-g304554-d3268182-Reviews-Nawab_Saheb-Mumbai_Maharashtra,Nawab Saheb,5.0,Indian
15,Restaurant_Review-g304554-d6929570-Reviews-By_the_Mekong-Mumbai_Maharashtra,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
16,Restaurant_Review-g304554-d16845556-Reviews-Yeda_Republic-Mumbai_Maharashtra,Yeda Republic,5.0,Asian
17,Restaurant_Review-g304554-d6158439-Reviews-The_Brasserie-Mumbai_Maharashtra,The Brasserie,4.5,Indian International Asian
